year,cell,wage_lower,wage_upper,n_workers,n_workers_mtr,avg_wages,total_wages,avg_mtr_iit,avg_mtr_iit_wtd
2033,$200k-$220k,2e+05,220000,2995563.34498807,2995563.34498807,209789.808890078,628438661663.168,0.288057591224302,0.288329661892483
2033,$220k-$240k,220000,240000,2517988.84794499,2517988.84794499,229652.756390919,578263079492.161,0.242403426808985,0.242409331954739
2033,$240k-$260k,240000,260000,1738121.16855699,1738121.16855699,249736.730256043,434072697424.234,0.287092669594032,0.28743429017446
2033,$260k-$280k,260000,280000,1270386.1099729,1270386.1099729,269207.166577008,341997045124.591,0.273226885142173,0.273288123434036
2033,$280k-$300k,280000,3e+05,1003416.65743851,1003416.65743851,289081.913058809,290069606927.4,0.284345258521025,0.284350817996803
2033,$300k-$320k,3e+05,320000,873100.15499407,873100.15499407,309474.939130064,270202617321.239,0.287928586125613,0.287902107500892
2033,$320k-$340k,320000,340000,545203.553662598,545203.553662598,330472.941792966,180175022254.858,0.295314989112212,0.295472854955876
2033,$340k-$360k,340000,360000,541937.673315279,541937.673315279,350020.628266909,189689364895.321,0.290872239789426,0.290935651114356
2033,$360k-$380k,360000,380000,359487.227669624,359487.227669624,369786.036227092,132933356994.216,0.287871109416592,0.287871267314796
2033,$380k-$400k,380000,4e+05,259551.09628841,259551.09628841,390190.922118525,101274481597.649,0.278771253036385,0.278717984799887
2033,$400k-$420k,4e+05,420000,286064.389330212,286064.389330212,410160.889969159,117332424516.164,0.382531852036442,0.384143457569238
2033,$420k-$440k,420000,440000,236178.317324102,236178.317324102,429509.976188724,101440943450.168,0.301763955937554,0.301264525782368
2033,$440k-$460k,440000,460000,199612.508161451,199612.508161451,450178.884224265,89861336201.3293,0.283796786441551,0.283822603339446
2033,$460k-$480k,460000,480000,169114.404370917,169114.404370917,469712.086188889,79435079681.6547,0.283784340741041,0.283832913339612
2033,$480k-$500k,480000,5e+05,157839.722201065,157839.722201065,489739.588721825,77300360634.7169,0.296738654754118,0.296850656011732
2033,$500k-$550k,5e+05,550000,372105.547905784,372105.547905784,523072.88372801,194638321994.27,0.320983510348849,0.321099628675054
2033,$550k-$600k,550000,6e+05,259938.23893368,259938.23893368,575055.85793062,149479006998.982,0.332924225664332,0.332954178398129
2033,$600k-$650k,6e+05,650000,215178.220825025,215178.220825025,624608.556557731,134402157912.179,0.343500831424806,0.343567895387762
