model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
policyengine,ND,2023,1533,0.4246575342465753,0.4924983692106979,0.3685583822570124,20425.073735678623,109.13965202054533,9229.565585534783,420779.27233742946,1047.594364728199,356,0.8623595505617978,0.8735955056179775
policyengine,ND,2024,1531,0.42913128674069234,0.4794252122795558,0.3762246897452645,19371.6184975529,146.484944085058,12121.91414379782,440371.4707537165,-6034.666547606428,363,0.8484848484848485,0.859504132231405
taxsim,NH,2017,20513,0.9981475162092333,1,0.6860039974650222,0.11149493654864942,0,0.00354858453947031,0.00788657423574479,-0.11082061415816322,13458,0.9992569475404964,1
taxsim,NH,2018,20515,0.998196441628077,1,0.6797465269315135,0.10918512538511994,0,0.00355470934549373,0.00852585187007209,-0.1084942228354037,13504,0.9988151658767772,1
taxsim,NH,2019,20514,0.997757628936336,1,0.6700302232621624,0.1314474141350887,0,0.00365834501801032,0.00908116823993621,-0.13073825983687065,13433,0.9990322340504728,1
taxsim,NH,2020,20513,0.9980012674889096,1,0.6739628528250378,0.12029829703304032,0,0.00362918777098002,0.00901389225386086,-0.11961113096775954,13070,0.9990818668706962,1
policyengine,NH,2021,1536,0.7708333333333334,0.8059895833333334,0.6295572916666666,3527.819172398745,0,1735.8126024469148,84927.73748865214,-3520.6631097695445,272,0.9669117647058824,0.9816176470588236
policyengine,NH,2022,1530,0.7594771241830065,0.796078431372549,0.6169934640522876,4322.710167737778,0,1422.7577741385549,75140.85023821222,-4315.126324104975,314,0.9554140127388536,0.9585987261146496
policyengine,NH,2023,1533,0.7788649706457925,0.8330071754729289,0.6418786692759295,4058.298760843052,0,1650.3937409158325,122920.47033287727,-4052.1370082621224,348,0.956896551724138,0.9626436781609196
policyengine,NH,2024,1531,0.767472240365774,0.8269105160026127,0.6218158066623122,4200.080215303175,0,1440.7811473652764,101465.86938309338,-4195.730765572092,363,0.9393939393939394,0.9614325068870524
taxsim,NV,2017,20513,1,1,1,0,0,0,0,0,13458,1,1
taxsim,NV,2018,20515,1,1,1,0,0,0,0,0,13504,1,1
taxsim,NV,2019,20514,1,1,1,0,0,0,0,0,13433,1,1
taxsim,NV,2020,20513,1,1,1,0,0,0,0,0,13070,1,1
policyengine,NV,2021,1536,1,1,1,0,0,0,0,0,269,1,1
policyengine,NV,2022,1530,1,1,1,0,0,0,0,0,315,1,1
policyengine,NV,2023,1533,1,1,1,0,0,0,0,0,353,1,1
