state,age_band,income_tier,n_units,year
ME,18_25,1_10k,19047,2022
ME,18_25,10_25k,10156,2022
ME,26_34,neg_zero,5429,2022
ME,26_34,1_10k,6680,2022
ME,26_34,10_25k,4955,2022
ME,35_44,neg_zero,4427,2022
ME,35_44,1_10k,5256,2022
ME,35_44,10_25k,6011,2022
ME,35_44,25_50k,344,2022
ME,45_54,neg_zero,3667,2022
ME,45_54,1_10k,6519,2022
ME,45_54,10_25k,4197,2022
ME,45_54,25_50k,61,2022
ME,55_64,neg_zero,3384,2022
ME,55_64,1_10k,7978,2022
ME,55_64,10_25k,7920,2022
ME,55_64,25_50k,274,2022
ME,65_74,neg_zero,1446,2022
ME,65_74,1_10k,5558,2022
ME,65_74,10_25k,10526,2022
ME,65_74,25_50k,267,2022
ME,75p,neg_zero,2041,2022
ME,75p,1_10k,6038,2022
ME,75p,10_25k,6217,2022
ME,75p,25_50k,118,2022
MI,18_25,neg_zero,172153,2022
MI,18_25,1_10k,220645,2022
MI,18_25,10_25k,87026,2022
MI,18_25,25_50k,252,2022
MI,26_34,neg_zero,65704,2022
MI,26_34,1_10k,77973,2022
MI,26_34,10_25k,56035,2022
MI,26_34,25_50k,505,2022
MI,35_44,neg_zero,42717,2022
MI,35_44,1_10k,54652,2022
MI,35_44,10_25k,47243,2022
MI,35_44,25_50k,1346,2022
MI,45_54,neg_zero,34389,2022
MI,45_54,1_10k,51786,2022
MI,45_54,10_25k,42756,2022
MI,45_54,25_50k,1403,2022
MI,55_64,neg_zero,34207,2022
MI,55_64,1_10k,69627,2022
MI,55_64,10_25k,58753,2022
MI,55_64,25_50k,1680,2022
MI,65_74,neg_zero,14963,2022
MI,65_74,1_10k,52876,2022
MI,65_74,10_25k,51293,2022
MI,65_74,25_50k,1276,2022
MI,75p,neg_zero,14396,2022
MI,75p,1_10k,40434,2022
MI,75p,10_25k,35482,2022
MI,75p,25_50k,633,2022
MN,18_25,neg_zero,57673,2022
MN,18_25,1_10k,114705,2022
MN,18_25,10_25k,45450,2022
MN,18_25,25_50k,121,2022
MN,26_34,neg_zero,14348,2022
MN,26_34,1_10k,29693,2022
MN,26_34,10_25k,22269,2022
MN,26_34,25_50k,399,2022
MN,35_44,neg_zero,13510,2022
MN,35_44,1_10k,23392,2022
MN,35_44,10_25k,13336,2022
MN,35_44,25_50k,1395,2022
MN,45_54,neg_zero,10974,2022
MN,45_54,1_10k,15993,2022
MN,45_54,10_25k,14807,2022
MN,45_54,25_50k,221,2022
MN,55_64,neg_zero,16098,2022
MN,55_64,1_10k,29373,2022
MN,55_64,10_25k,22501,2022
MN,55_64,25_50k,716,2022
MN,65_74,neg_zero,3947,2022
MN,65_74,1_10k,19281,2022
MN,65_74,10_25k,20044,2022
MN,65_74,25_50k,1096,2022
MN,75p,neg_zero,7596,2022
MN,75p,1_10k,19774,2022
MN,75p,10_25k,20814,2022
MN,75p,25_50k,425,2022
MO,18_25,neg_zero,124537,2022
MO,18_25,1_10k,125736,2022
MO,18_25,10_25k,49094,2022
MO,18_25,25_50k,191,2022
MO,26_34,neg_zero,32426,2022
MO,26_34,1_10k,36916,2022
MO,26_34,10_25k,29441,2022
MO,26_34,25_50k,1205,2022
MO,35_44,neg_zero,20519,2022
MO,35_44,1_10k,30727,2022
MO,35_44,10_25k,27334,2022
MO,35_44,25_50k,426,2022
MO,45_54,neg_zero,17711,2022
MO,45_54,1_10k,30386,2022
MO,45_54,10_25k,20936,2022
MO,45_54,25_50k,847,2022
MO,55_64,neg_zero,16685,2022
MO,55_64,1_10k,41151,2022
MO,55_64,10_25k,38822,2022
MO,55_64,25_50k,1131,2022
MO,65_74,neg_zero,7096,2022
MO,65_74,1_10k,32394,2022
MO,65_74,10_25k,35147,2022
MO,65_74,25_50k,1424,2022
MO,75p,neg_zero,7119,2022
MO,75p,1_10k,27841,2022
MO,75p,10_25k,25684,2022
MO,75p,25_50k,1073,2022
MS,18_25,neg_zero,93348,2022
MS,18_25,1_10k,66295,2022
MS,18_25,10_25k,17934,2022
MS,18_25,25_50k,114,2022
MS,26_34,neg_zero,17635,2022
MS,26_34,1_10k,30527,2022
MS,26_34,10_25k,20384,2022
MS,26_34,25_50k,578,2022
MS,35_44,neg_zero,15313,2022
MS,35_44,1_10k,25416,2022
MS,35_44,10_25k,21442,2022
MS,35_44,25_50k,253,2022
MS,45_54,neg_zero,14408,2022
MS,45_54,1_10k,22500,2022
MS,45_54,10_25k,18590,2022
MS,45_54,25_50k,777,2022
MS,55_64,neg_zero,13189,2022
MS,55_64,1_10k,26128,2022
MS,55_64,10_25k,25934,2022
MS,55_64,25_50k,257,2022
MS,65_74,neg_zero,5443,2022
MS,65_74,1_10k,22033,2022
MS,65_74,10_25k,25629,2022
MS,65_74,25_50k,977,2022
MS,75p,neg_zero,4267,2022
MS,75p,1_10k,14435,2022
MS,75p,10_25k,17509,2022
MS,75p,25_50k,268,2022
MT,18_25,neg_zero,21470,2022
MT,18_25,1_10k,21157,2022
MT,18_25,10_25k,6096,2022
MT,18_25,25_50k,45,2022
MT,26_34,neg_zero,4605,2022
MT,26_34,1_10k,5671,2022
MT,26_34,10_25k,5932,2022
MT,26_34,25_50k,64,2022
MT,35_44,neg_zero,5302,2022
MT,35_44,1_10k,5115,2022
MT,35_44,10_25k,3847,2022
MT,35_44,25_50k,26,2022
MT,45_54,neg_zero,2722,2022
MT,45_54,1_10k,3890,2022
MT,45_54,10_25k,2546,2022
MT,45_54,25_50k,79,2022
MT,55_64,neg_zero,2716,2022
MT,55_64,1_10k,8810,2022
MT,55_64,10_25k,5152,2022
MT,55_64,25_50k,244,2022
MT,65_74,neg_zero,1211,2022
MT,65_74,1_10k,6405,2022
MT,65_74,10_25k,7731,2022
MT,65_74,25_50k,362,2022
