state,age_band,income_tier,n_units,n_adults,year
MT,75p,neg_zero,435,435,2018
MT,75p,1_10k,4940,5054,2018
MT,75p,10_25k,4851,7288,2018
NC,18_25,neg_zero,235990,236066,2018
NC,18_25,1_10k,260678,262311,2018
NC,18_25,10_25k,51840,56606,2018
NC,26_34,neg_zero,62635,63851,2018
NC,26_34,1_10k,103650,105929,2018
NC,26_34,10_25k,52157,64329,2018
NC,35_44,neg_zero,40970,42459,2018
NC,35_44,1_10k,71984,76700,2018
NC,35_44,10_25k,49384,63946,2018
NC,45_54,neg_zero,42072,43707,2018
NC,45_54,1_10k,70482,76958,2018
NC,45_54,10_25k,44460,61482,2018
NC,55_64,neg_zero,37962,40655,2018
NC,55_64,1_10k,87970,94051,2018
NC,55_64,10_25k,51326,75869,2018
NC,65_74,neg_zero,12770,15250,2018
NC,65_74,1_10k,60288,64666,2018
NC,65_74,10_25k,41851,66204,2018
NC,75p,neg_zero,7978,9064,2018
NC,75p,1_10k,46189,49375,2018
NC,75p,10_25k,39802,56112,2018
ND,18_25,neg_zero,10254,10254,2018
ND,18_25,1_10k,17484,17484,2018
ND,18_25,10_25k,4807,5078,2018
ND,26_34,neg_zero,2650,2650,2018
ND,26_34,1_10k,4788,4809,2018
ND,26_34,10_25k,2383,2702,2018
ND,35_44,neg_zero,2190,2190,2018
ND,35_44,1_10k,1935,2127,2018
ND,35_44,10_25k,2711,3715,2018
ND,45_54,neg_zero,1194,1503,2018
ND,45_54,1_10k,2641,2705,2018
ND,45_54,10_25k,1110,1343,2018
ND,55_64,neg_zero,790,790,2018
ND,55_64,1_10k,4069,4149,2018
ND,55_64,10_25k,2815,4450,2018
ND,65_74,neg_zero,236,236,2018
ND,65_74,1_10k,2460,2538,2018
ND,65_74,10_25k,1749,2807,2018
ND,75p,neg_zero,226,288,2018
ND,75p,1_10k,4672,4693,2018
ND,75p,10_25k,2066,3218,2018
NE,18_25,neg_zero,22230,22230,2018
NE,18_25,1_10k,48091,48091,2018
NE,18_25,10_25k,11072,11818,2018
NE,26_34,neg_zero,5476,5637,2018
NE,26_34,1_10k,10652,11483,2018
NE,26_34,10_25k,10143,12900,2018
NE,35_44,neg_zero,4239,4239,2018
NE,35_44,1_10k,6614,7295,2018
NE,35_44,10_25k,7255,8999,2018
NE,45_54,neg_zero,4309,4601,2018
NE,45_54,1_10k,5514,6238,2018
NE,45_54,10_25k,4109,5647,2018
NE,55_64,neg_zero,4196,4314,2018
NE,55_64,1_10k,10452,11608,2018
NE,55_64,10_25k,5449,8668,2018
NE,65_74,neg_zero,1511,1628,2018
NE,65_74,1_10k,6389,6631,2018
NE,65_74,10_25k,5444,9140,2018
NE,75p,neg_zero,2199,2417,2018
NE,75p,1_10k,5391,6012,2018
NE,75p,10_25k,7267,10893,2018
NH,18_25,neg_zero,16839,16839,2018
NH,18_25,1_10k,31410,31600,2018
NH,18_25,10_25k,6085,6085,2018
NH,26_34,neg_zero,3694,3811,2018
NH,26_34,1_10k,9307,9498,2018
NH,26_34,10_25k,4416,4707,2018
NH,35_44,neg_zero,2768,2790,2018
NH,35_44,1_10k,5353,5765,2018
NH,35_44,10_25k,4041,4616,2018
NH,45_54,neg_zero,2421,2421,2018
NH,45_54,1_10k,4777,4895,2018
NH,45_54,10_25k,4060,5444,2018
NH,55_64,neg_zero,2654,2682,2018
NH,55_64,1_10k,8648,9192,2018
NH,55_64,10_25k,4142,6439,2018
NH,65_74,neg_zero,1720,1873,2018
NH,65_74,1_10k,5707,6297,2018
NH,65_74,10_25k,4197,6343,2018
NH,75p,neg_zero,1292,1421,2018
NH,75p,1_10k,2032,2378,2018
NH,75p,10_25k,3947,6118,2018
NJ,18_25,neg_zero,183028,183153,2018
NJ,18_25,1_10k,217911,218094,2018
NJ,18_25,10_25k,36923,39265,2018
NJ,26_34,neg_zero,47924,47994,2018
